Index     ons     dos     tros         x1          y1          z1        x2        y2         z2         x3         y3          z3
64          1      3       0     -0.016763   0.006411   0.000000   0.648939   25.000000   0.750617      inf         inf         inf   
65          1      3       0     -0.042468   0.001013   0.000000   0.495487   25.000000   0.750617      inf         inf         inf   
66          1      3       0     -0.022081   -0.004704   0.000000   0.618755   25.000000   0.750618      inf         inf         inf   
67          3      0       0     0.994697   25.000000   -0.750002       inf           inf           inf       inf   inf   inf
68          3      0       0     0.918359   25.000000   -0.748174       inf           inf           inf       inf   inf   inf
69          1      3       0     -0.047979   -0.013891   0.000000   0.464235   25.000000   0.750619      inf         inf         inf   
70          1      3       0     -0.015819   0.006377   0.000000   0.654607   25.000000   0.750617      inf         inf         inf   
71          3      0       0     1.026776   25.000000   -0.750281       inf           inf           inf       inf   inf   inf
72          3      0       0     0.991778   25.000000   -0.748330       inf           inf           inf       inf   inf   inf
73          3      0       0     0.949643   25.000000   -0.749599       inf           inf           inf       inf   inf   inf
74          3      0       0     1.034295   25.000000   -0.749959       inf           inf           inf       inf   inf   inf
75          3      0       0     0.898496   25.000000   -0.751729       inf           inf           inf       inf   inf   inf
76          1      3       0     -0.035974   0.002885   0.000000   0.534214   25.000000   0.750617      inf         inf         inf   
77          1      3       0     -0.017465   -0.011068   0.000000   0.647516   25.000000   0.750619      inf         inf         inf   
78          1      3       0     -0.008951   -0.002695   0.000000   0.697328   25.000000   0.750618      inf         inf         inf   
79          3      0       0     0.931465   25.000000   -0.752564       inf           inf           inf       inf   inf   inf
80          1      3       0     -0.026738   0.001427   0.000000   0.589859   25.000000   0.750617      inf         inf         inf   
81          3      0       0     0.923488   25.000000   -0.747897       inf           inf           inf       inf   inf   inf
82          3      0       0     0.919001   25.000000   -0.749252       inf           inf           inf       inf   inf   inf
83          3      0       0     0.955923   25.000000   -0.748399       inf           inf           inf       inf   inf   inf
84          3      0       0     0.875868   25.000000   -0.753475       inf           inf           inf       inf   inf   inf
85          3      0       0     0.992991   25.000000   -0.750868       inf           inf           inf       inf   inf   inf
86          2      1       3     -0.000001   -0.026265   0.000874   -0.000875   0.002851   0.000000   -0.750603   25.000000   0.750635
87          3      0       0     0.856683   25.000000   -0.748640       inf           inf           inf       inf   inf   inf
88          1      3       0     -0.043860   -0.012537   0.000000   0.488862   25.000000   0.750619      inf         inf         inf   
89          3      0       0     0.881038   25.000000   -0.751661       inf           inf           inf       inf   inf   inf
90          2      1       3     -0.000015   -0.092292   0.002562   -0.002564   -0.007098   0.000000   -0.750591   25.000000   0.750650
91          1      3       0     -0.035280   0.010949   0.000000   0.537273   25.000000   0.750616      inf         inf         inf   
92          1      3       0     -0.041153   -0.013768   0.000000   0.505317   25.000000   0.750619      inf         inf         inf   
93          1      3       0     -0.049563   0.005903   0.000000   0.452308   25.000000   0.750617      inf         inf         inf   
94          3      0       0     0.948304   25.000000   -0.753167       inf           inf           inf       inf   inf   inf
95          1      3       0     -0.008780   0.003883   0.000000   0.697242   25.000000   0.750617      inf         inf         inf   
96          3      0       0     0.913647   25.000000   -0.747826       inf           inf           inf       inf   inf   inf
97          3      0       0     0.884842   25.000000   -0.749193       inf           inf           inf       inf   inf   inf
